CODIGO BIP,NOMBRE INICIATIVA,REGION,COMUNA,ETAPA POSTULA,COSTO TOTAL M$,AÑO POSTULACION,RATE,FECHA RATE,SECTOR,MAGNITUD,MAGNITUD VALOR,FUENTE FINANCIERA
30085715-0,RESTAURACION TEATRO MUNICIPAL DE COLLIPULLI,REGION DE LA ARAUCANIA,COLLIPULLI,EJECUCION,4.188.394,2026,RS,6/1/2026,"EDUCACION, CULTURA Y PATRIMONIO",METROS CUADRADOS,1547,FNDR
40056966-0,"MEJORAMIENTO CAMINO METRENCO HUILLINCO Y HUILLINCO RINCONADA, P. LAS CASAS",REGION DE LA ARAUCANIA,PADRE LAS CASAS,EJECUCION,8.944.264,2026,RS,22/12/2025,TRANSPORTE,KILÓMETROS,12,FNDR
30100107-0,REPOSICION CONSULTORIO DE SALUD RURAL DE HUISCAPI COMUNA LONCOCHE,REGION DE LA ARAUCANIA,LONCOCHE,EJECUCION,7.276.079,2026,RS,7/1/2026,SALUD,METROS CUADRADOS,1728,FNDR
40071752-0,REPOSICION VEREDAS VARIOS SECTORES COMUNA DE PADRE LAS CASAS,REGION DE LA ARAUCANIA,PADRE LAS CASAS,EJECUCION,1.855.798,2026,,,VIVIENDA Y DESARROLLO URBANO,METROS,2000,FNDR
40075697-0,"MEJORAMIENTO CAMINOS RURALES SECTOR CULLINCO, VICTORIA",REGION DE LA ARAUCANIA,VICTORIA,EJECUCION,50.000,2026,,,TRANSPORTE,METROS,3100,FNDR
40079070-0,MEJORAMIENTO ADQUISICIÓN DE EQUIPAMIENTO OFTALMOLÓGICO ESPECIALIZADO HOSPITAL DE ANGOL,REGION DE LA ARAUCANIA,ANGOL,EJECUCION,960.000,2026,,,SALUD,UNIDAD,4,FNDR
40032993-0,REPOSICION CAMIÓN ALJIBE 1° COMPAÑÍA DEL CUERPO DE BOMBEROS DE GORBEA,REGION DE LA ARAUCANIA,GORBEA,EJECUCION,562.705,2026,,,SEGURIDAD PUBLICA,UNIDAD,1,FNDR
40080570-0,CONSTRUCCION DE ESTACIONAMIENTO EN 8 SECTORES DE LA COMUNA DE MELIPEUCO,REGION DE LA ARAUCANIA,MELIPEUCO,EJECUCION,166.521,2026,,,TRANSPORTE,METROS,1000,FNDR
40081409-0,ADQUISICION DE VEHICULO PARA FORTALECER LA RESPUESTA ANTE SITUACIONES DE EMERGENCIAS EN LA COMUNA DE COLLIPULLI,REGION DE LA ARAUCANIA,COLLIPULLI,EJECUCION,114.954,2026,,,MULTISECTORIAL,UNIDAD,1,FNDR
40029783-0,"CONSTRUCCION ELECTRIFICACION RURAL COMUNIDAD IGNACIO TRECANAO, CURACAUTIN",REGION DE LA ARAUCANIA,CURACAUTIN,EJECUCION,479.088,2026,FI,11/8/2026,ENERGIA,NÚMERO DE EMPALMES,32,FNDR
40082405-0,ADQUISICION ADQUISICIÓN ACUMULADORES DE AGUA Y EQUIPOS PARA RESPUESTA A INCENDIOS FORESTALES,REGION DE LA ARAUCANIA,,EJECUCION,270.669,2026,,,MULTISECTORIAL,UNIDAD,47,FNDR
40070865-0,"MEJORAMIENTO DE CAMINO VECINAL Y ACCESO A CEMENTERIO, SECTOR LOLOCURA, COMUNA DE CARAHUE",REGION DE LA ARAUCANIA,CARAHUE,EJECUCION,71.000,2026,,,TRANSPORTE,METROS,140,FNDR
40070766-0,"CONSTRUCCION SEDE SOCIAL AILLINCO, COMUNA DE GALVARINO",REGION DE LA ARAUCANIA,GALVARINO,EJECUCION,141.147,2026,,,MULTISECTORIAL,METROS CUADRADOS,142,FNDR
40082423-0,"CONSTRUCCION CALLE ARICA ENTRE PISAGUA E IQUIQUE, TRAIGUÉN",REGION DE LA ARAUCANIA,TRAIGUEN,EJECUCION,94.603,2026,,,VIVIENDA Y DESARROLLO URBANO,UNIDAD,3,FNDR
40076550-0,"REPOSICION VEHICULOS TRASLADO DE PERSONAL Y CENTRO DE EDUCACIÓN Y TRABAJO, GENDARMERÍA  ",REGION DE LA ARAUCANIA,TEMUCO,EJECUCION,81.854,2026,,,JUSTICIA,UNIDAD,2,FNDR
40077706-0,"ADQUISICION DE FURGONES PARA TRASLADO DE PROFESIONALES DE RONDA MEDICA DSM, TOLTEN ",REGION DE LA ARAUCANIA,TOLTEN,EJECUCION,171.360,2026,,,SALUD,UNIDAD,2,FNDR
40052236-0,MEJORAMIENTO DE CAMINO RURAL PUTABLA SECTOR AFUNALHUE COMUNA DE VILLARRICA ,REGION DE LA ARAUCANIA,VILLARRICA,EJECUCION,90.906,2026,,,TRANSPORTE,METROS,4000,FNDR
40082282-0,"ADQUISICION DE VEHICULO DE PRIMERA RESPUESTA Y GENERADORES PARA 6 APR, COMUNA DE CHOLCHOL",REGION DE LA ARAUCANIA,CHOL CHOL,EJECUCION,206.353,2026,,,MULTISECTORIAL,UNIDAD,7,FNDR
40079276-0,"CONSTRUCCION Y REPOSICION PARADEROS RUTA PRINCIPAL S-20 CHOLCHOL - TEMUCO, COMUNA DE CHOLCHOL",REGION DE LA ARAUCANIA,CHOL CHOL,EJECUCION,157.235,2026,,,TRANSPORTE,UNIDAD,10,FNDR
40052136-0,"CONSTRUCCION INFRAESTRUCTURA SANITARIA, LOCALIDAD DE SELVA OSCURA, COMUNA DE VICTORIA",REGION DE LA ARAUCANIA,VICTORIA,PREFACTIBILIDAD,111.178,2026,,,RECURSOS HIDRICOS,NRO. DE ARRANQUES TOTALES,450,FNDR
40081902-0,"CONSTRUCCION ELECTRIFICACION RURAL COMUNIDAD JUAN MARIHUAL, TEMUCO",REGION DE LA ARAUCANIA,TEMUCO,EJECUCION,360.871,2026,,,ENERGIA,NÚMERO DE EMPALMES,23,FNDR
30435474-0,"CONSTRUCCION APR COIHUECO,PELEHUE,PUNTA RIEL,PONHUITO, T.SCHMIDT",REGION DE LA ARAUCANIA,TEODORO SCHMIDT,EJECUCION,4.868.133,2026,RS,22/6/2026,RECURSOS HIDRICOS,NRO. DE ARRANQUES TOTALES,289,FNDR
