codigoBip,codigoParte,anio,codigoEtapaPostula,region
40074743,0,2026,6,177
40057257,0,2026,6,177
40062759,0,2026,6,177
40069358,0,2026,6,177
30134056,0,2026,6,177
40054401,0,2026,6,177
30109155,0,2026,6,177
30292975,0,2026,6,177
30107157,0,2026,6,177
30124912,0,2026,6,177
30113065,0,2026,6,177
30096102,0,2026,6,177
30075290,0,2026,6,177
30096110,0,2026,5,177
30174772,0,2026,6,177
40080264,0,2026,6,177
40082206,0,2026,6,177
40078594,0,2026,6,177
40039510,0,2026,5,177
40082688,0,2026,5,177
20187802,0,2026,6,177
40062384,0,2026,6,177
40062384,0,2027,6,177
40081061,0,2026,6,177
40080558,0,2026,6,177
40080496,0,2026,6,177
30343539,0,2026,6,177
40079307,0,2026,6,177
40080594,0,2026,6,177
40067976,0,2026,6,177
40074042,0,2026,5,177
40056289,0,2026,6,177
40054649,0,2026,6,177
40027817,0,2026,6,177
40040052,0,2026,6,177
40077713,0,2026,6,177
40080483,0,2026,6,177
40065262,0,2026,6,177
40081406,0,2026,6,177
40048345,0,2026,6,177
40077968,0,2026,6,177
40080528,0,2026,6,177
40080445,0,2026,6,177
40082211,0,2026,6,177
40048261,0,2026,6,177
40039792,0,2026,6,177
40023608,0,2026,6,177
30070555,0,2026,6,177
30328827,0,2026,6,177
30328827,0,2026,5,177
40078044,0,2026,6,177
30484343,0,2026,4,177
30467692,0,2026,6,177
30064649,0,2026,6,177
40068664,0,2026,6,177
40077125,0,2026,6,177
40077756,0,2026,6,177
40077442,0,2026,5,177
40026600,0,2026,6,177
40065345,0,2026,5,177
40043746,0,2026,6,177
30378922,0,2026,6,177
40060990,0,2026,6,177
40035399,0,2026,6,177
40076929,0,2026,6,177
50000210,0,2026,6,177
40051313,0,2026,6,177
40077468,0,2026,6,177
40080623,0,2026,6,177
40032491,0,2026,6,177
40056766,0,2027,6,177
40065485,0,2026,6,177
40065478,0,2026,6,177
40082403,0,2026,6,177
40061101,0,2026,6,177
40045092,0,2026,6,177
40070401,0,2026,6,177
40070820,0,2026,6,177
40038115,0,2026,6,177
40081320,0,2026,6,177
40009278,0,2026,5,177
30363445,0,2026,6,177
40035771,0,2026,5,177
30103935,0,2026,6,177
20188580,0,2026,6,177
40071965,0,2026,6,177
40080965,0,2026,6,177
40079961,0,2026,5,177
30249672,0,2026,6,177
40027785,0,2026,6,177
40073807,0,2026,6,177
40071970,0,2026,6,177
40081629,0,2026,6,177
40070469,0,2026,5,177
40080875,0,2026,6,177
40078783,0,2026,6,177
40069823,0,2026,5,177
40062692,0,2026,6,177
40074006,0,2026,6,177
40082332,0,2027,5,177
50001809,0,2026,6,177
40027622,0,2026,6,177
40076400,0,2026,6,177
30379323,0,2026,6,177
40078738,0,2026,6,177
40075755,0,2026,6,177
40080684,0,2026,6,177
40082368,0,2026,6,177
40071184,0,2026,6,177
40081196,0,2027,6,177
40052510,0,2026,3,177
40081925,0,2026,6,177
20177920,0,2026,6,177
40049912,0,2026,6,177
40043617,0,2026,6,177
40023375,0,2026,6,177
40050036,0,2026,6,177
40058194,0,2026,6,177
40035281,0,2026,5,177
40077323,0,2026,6,177
40080729,0,2026,6,177
40080830,0,2026,6,177
30458837,0,2026,4,177
40070076,0,2026,6,177
40073046,0,2026,6,177
40073046,0,2026,5,177
40077984,0,2026,6,177
50000809,0,2026,6,177
40078522,0,2026,5,177
30484571,0,2026,6,177
40053519,0,2026,6,177
40080255,0,2026,6,177
30482066,0,2026,6,177
50001930,0,2026,5,177
40080520,0,2026,6,177
40080999,0,2026,6,177
40060312,0,2026,6,177
40081912,0,2026,6,177
40002369,0,2026,6,177
40027936,0,2026,5,177
40071210,0,2026,6,177
30126632,0,2026,6,177
40081483,0,2026,6,177
40069651,0,2026,3,177
40063556,0,2026,6,177
40081185,0,2026,5,177
40081077,0,2026,6,177
40081564,0,2026,6,177
40071903,0,2026,6,177
40082499,0,2026,6,177
40059702,0,2026,5,177
40057402,0,2026,6,177
40082097,0,2026,6,177
40050156,0,2026,6,177
40067695,0,2026,6,177
40063268,0,2026,6,177
40080436,0,2027,6,177
40074254,0,2026,4,177
30038126,0,2026,6,177
40082420,0,2026,6,177
40082344,0,2026,6,177
40063456,0,2026,6,177
40080318,0,2026,6,177
40082597,0,2026,6,177
40021834,0,2026,6,177
40077911,0,2027,6,177
40005756,0,2026,6,177
40079966,0,2026,5,177
40065222,0,2026,6,177
40080351,0,2026,6,177
40023967,0,2026,5,177
40080723,0,2027,6,177
30076636,0,2026,6,177
40070216,0,2026,6,177
40068419,0,2026,6,177
40048728,0,2026,6,177
40074857,0,2026,6,177
30085715,0,2026,6,177
40056966,0,2026,6,177
30100107,0,2026,6,177
40071752,0,2026,6,177
40075697,0,2026,6,177
40081408,0,2026,5,177
40082471,0,2026,6,177
40069164,0,2026,6,177
40076948,0,2026,6,177
40071012,0,2026,6,177
40000118,0,2026,6,177
40072915,0,2026,6,177
40077071,0,2026,6,177
40077071,0,2027,6,177
40080231,0,2027,6,177
40002696,0,2026,6,177
40031440,0,2026,6,177
40015334,0,2026,6,177
40079524,0,2026,6,177
40081430,0,2026,6,177
40077536,0,2026,6,177
40077953,0,2026,6,177
40080300,0,2026,6,177
30135321,0,2026,6,177
